ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (July 2025)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).

Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
,09,2*,2*,2*,2*,2,2*,2,2*,2,2,2,2,2,2*,-*,3*,3,3*
,10,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3
,11,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,3,3,3
,12,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,4,3,4
,13,4,4*,4,4,4,4,3,3,3*,3,3,3,4,3,3,4,4,4
,14,4,5*,4,4,4,4,3,4,3*,3,3,3,4,3,3,5,4,5
,15,4,5,4,4,5,4,3,4,3*,3,3,3,4,3,4,5,4,5
,16,4,5,4,4,4,4,3,4,3,4,3,4,4,4,4,5,4,5
,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
,18,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
,19,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5
,20,4,5,4,4,4,4,4,3,5,5,4,4,4,4,4,5,4,5
,21,4,4,5,4,4,4,4,3,4,5,4,3,4,4,4,5,5,5
,22,4,3,5,4,4,4,3,3,4,4,3,3,4,3,4,5,5,5
,23,4,3,4,4,4,4,3,3,4,4,3,3,4,3,3,5,4,5
,24,4,3,4,4,4,4,3,3,4,4,3,3,3,2,2,4,4,5
,Daily Max,4,5,5,4,5,4,4,4,5,5,4,4,4,4,4,5,5,5
2025-07-12,01,4,3,4,4,4,4,3,3,4,4,3,2,3,2,2,4,4,4
,02,4,3,4,4,4,4,3,2,3,4,3,2,3,2,2,4,4,4
,03,4,2,4,3,4,3,3,3,3,4,3,2,3,2,2,4,4,4
,04,4,3,3,3,4,3,3,3,3,3,3,2,3,2,2,4,4,4
,05,3,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,4
,06,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3
,07,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
